,Fitur,Test_Size,K Neighbors,Nilai Error MSE,Nilai Error MAPE
146,4,0.4,7,0.02774958536414772,0.10445810178070618
147,4,0.4,9,0.029287858477609438,0.10745801509489941
148,4,0.4,11,0.03007393277665847,0.10854427211421998
149,4,0.4,13,0.0310860044881375,0.11109991289072016
150,5,0.4,3,0.04000290389846929,0.12634837102529148
151,5,0.4,5,0.032500657952170844,0.11276618379083884
152,5,0.4,7,0.029123779170486343,0.1066172497860054
153,5,0.4,9,0.029264145788007297,0.10793246548583246
154,5,0.4,11,0.03013993341467647,0.10970669790392777
155,5,0.4,13,0.031060417624461534,0.11148142473735174
156,6,0.4,3,0.038151232059304374,0.12269081619210025
157,6,0.4,5,0.03407249287614571,0.11388915012396832
158,6,0.4,7,0.033706788676200944,0.11481914729660489
159,6,0.4,9,0.0327530716342307,0.11351225923676625
160,6,0.4,11,0.03311427535142887,0.11479064658943362
161,6,0.4,13,0.03215041935666267,0.11273503611963512
162,7,0.4,3,0.036126359680950806,0.12051073226186657
163,7,0.4,5,0.03458999487103897,0.11795190769616613
164,7,0.4,7,0.033822242964561926,0.1156231470933194
165,7,0.4,9,0.03426752816650787,0.11549247104617935
166,7,0.4,11,0.03394169707852017,0.11504647855015158
167,7,0.4,13,0.033646492172255696,0.11516416797565268
